CAMIS,Name,MostRecentInspDate,GRADE,INSPECTION TYPE,SCORE
50040448,DUNKIN,2025-07-07,A,Cycle Inspection / Initial Inspection,7.0
50138139,IGAM,2025-08-22,Z,Cycle Inspection / Re-inspection,24.0
50124313,CAFE XOCHIMILCO,2025-04-18,Z,Cycle Inspection / Re-inspection,23.0
50062743,BULBAP GRILL,2024-07-19,Z,Cycle Inspection / Reopening Inspection,0.0
50156262,DONER HAUS,2025-02-19,A,Pre-permit (Operational) / Initial Inspection,0.0
50073605,HAYES THEATER,2018-11-01,nan,Smoke-Free Air Act / Re-inspection,
50141172,QUALITY GREENS KITCHEN,2023-11-21,A,Pre-permit (Operational) / Initial Inspection,9.0
50085967,DUNKIN',2024-10-10,A,Cycle Inspection / Re-inspection,13.0
50035091,MIXTAPE,2024-11-20,A,Cycle Inspection / Initial Inspection,9.0
50086994,WING STOP,2024-08-20,nan,Administrative Miscellaneous / Re-inspection,
50086994,WING STOP,2024-08-20,B,Cycle Inspection / Re-inspection,18.0
50135173,HALAL BRO'S GRILL,2025-05-21,A,Cycle Inspection / Initial Inspection,11.0
50152644,CHAR SIU BAO BAKERY,2024-09-05,A,Pre-permit (Operational) / Initial Inspection,12.0
50145538,BEST WOK NO1,2025-06-09,A,Cycle Inspection / Initial Inspection,13.0
50123250,VERS,2024-12-10,A,Cycle Inspection / Initial Inspection,7.0
50158841,FASTLIFE PIZZA,2025-07-30,A,Pre-permit (Operational) / Initial Inspection,12.0
50129949,NEW JOY GARDEN,2024-09-03,B,Cycle Inspection / Re-inspection,26.0
50008640,CARIDAD RESTAURANT,2024-11-22,A,Cycle Inspection / Re-inspection,13.0
41552525,MELTING POT CUISINE,2024-12-06,B,Cycle Inspection / Re-inspection,25.0
50059605,THE KING OF TACOS,2025-04-14,C,Cycle Inspection / Re-inspection,57.0
41549333,SATI'S ROTI SHOP,2024-05-09,A,Cycle Inspection / Initial Inspection,9.0
50139556,FOOD KING,2025-08-21,Z,Cycle Inspection / Re-inspection,21.0
50160910,INDIGO COFFEE CO,2025-01-07,nan,Smoke-Free Air Act / Re-inspection,
50131273,YUMMY 88,2023-06-12,C,Pre-permit (Operational) / Re-inspection,36.0
41525442,FLEX MUSSELS,2022-05-25,A,Cycle Inspection / Initial Inspection,2.0
50016457,ACADEMY CAFE,2024-08-15,B,Cycle Inspection / Re-inspection,15.0
41454419,JEUN JU KOREAN RESTAURANT,2024-12-09,B,Cycle Inspection / Re-inspection,25.0
50044598,HOT DOG CONCESSION,2025-02-01,A,Cycle Inspection / Initial Inspection,0.0
50009989,JUST SALAD,2025-04-21,A,Cycle Inspection / Initial Inspection,7.0
50065197,BAJEKO SEKUWA,2024-05-01,A,Cycle Inspection / Re-inspection,12.0
40877741,J'S PIZZA,2024-10-01,A,Cycle Inspection / Initial Inspection,12.0
40791157,LA PIAZZA PIZZERIA & RESTAURANT,2025-05-06,Z,Cycle Inspection / Re-inspection,24.0
50049766,SCHILLING,2025-02-05,A,Cycle Inspection / Re-inspection,9.0
50124807,D'MELTING POT,2025-08-14,Z,Cycle Inspection / Re-inspection,37.0
50124789,DARUMA JAPANESE CUISINE,2025-04-22,Z,Cycle Inspection / Re-inspection,54.0
50140858,MADE IN NEW YORK PIZZA,2025-02-27,A,Cycle Inspection / Initial Inspection,12.0
50142399,LALIN'S,2025-06-26,A,Cycle Inspection / Re-inspection,12.0
50043566,ROW HOUSE,2023-08-16,B,Cycle Inspection / Re-inspection,21.0
40536534,CASSIDY'S ALE HOUSE,2024-03-02,A,Cycle Inspection / Re-inspection,7.0
50113986,SWEETGREEN,2024-11-07,A,Cycle Inspection / Initial Inspection,9.0
50113986,SWEETGREEN,2024-11-07,nan,Administrative Miscellaneous / Initial Inspection,
50137730,ALLIGATOR PEAR,2025-05-29,A,Cycle Inspection / Initial Inspection,10.0
41562415,THE COMFORT DINER,2024-12-16,Z,Cycle Inspection / Re-inspection,21.0
50154014,PIZZA HAVEN,2024-12-10,B,Pre-permit (Operational) / Re-inspection,27.0
50049689,CHINA RESTAURANT,2025-05-22,A,Cycle Inspection / Initial Inspection,9.0
50044265,NEW TASTE RESTAURANT,2025-06-09,A,Cycle Inspection / Re-inspection,12.0
50113279,ROSE LANE,2024-12-10,A,Cycle Inspection / Initial Inspection,13.0
50127252,SUSHI MUMI,2025-07-09,A,Cycle Inspection / Initial Inspection,7.0
41106644,STARBUCKS,2025-05-01,A,Cycle Inspection / Initial Inspection,4.0
40373912,THE MALT HOUSE,2025-08-09,A,Cycle Inspection / Initial Inspection,9.0
40547933,ROMA VIEW CATERING,2025-06-17,Z,Cycle Inspection / Re-inspection,19.0
50001324,DUNKIN,2025-02-07,A,Cycle Inspection / Initial Inspection,12.0
41078099,ORIGINAL RAY'S PIZZA,2025-02-03,B,Cycle Inspection / Re-inspection,20.0
50106187,NIEVES TIA MIMI ICES,2025-05-07,C,Cycle Inspection / Re-inspection,43.0
50153168,HIGH & DRY,2024-09-05,A,Pre-permit (Operational) / Initial Inspection,13.0
50072043,MCDONALDS 14520,2024-10-15,A,Cycle Inspection / Initial Inspection,3.0
41271464,CAROUSEL FOR ALL CHILDREN,2022-08-25,A,Cycle Inspection / Initial Inspection,10.0
50076301,FIORE DI MARE,2024-04-18,A,Cycle Inspection / Initial Inspection,12.0
50087061,JOOY TEA SHOPPE,2025-07-15,Z,Cycle Inspection / Re-inspection,64.0
50142813,SURF PIZZA & WINGS,2025-02-03,Z,Pre-permit (Operational) / Re-inspection,57.0
40423510,ALIOTTA BAKE SHOP,2025-02-21,nan,Administrative Miscellaneous / Initial Inspection,
50127519,EL GALLO NEGRO,2024-11-07,A,Cycle Inspection / Initial Inspection,12.0
50069805,HOMEFRONT KITCHEN,2025-06-27,Z,Cycle Inspection / Re-inspection,20.0
50163668,MONSIEUR,2025-04-24,A,Pre-permit (Operational) / Initial Inspection,10.0
50007628,LUCKY STAR CHINESE RESTAURANT,2025-03-14,A,Cycle Inspection / Initial Inspection,6.0
50159852,DAILY GROCERY,2025-04-29,nan,Administrative Miscellaneous / Re-inspection,
50159852,DAILY GROCERY,2025-04-29,C,Pre-permit (Operational) / Re-inspection,51.0
50126868,SAPERAVI GEORGIAN EATERY AND WINE BAR,2024-08-23,A,Cycle Inspection / Re-inspection,12.0
50123208,WAN WAAN THAI RESTAURANT,2024-12-03,A,Cycle Inspection / Re-inspection,11.0
50033484,TULCINGO RESTAURANT,2024-08-14,B,Cycle Inspection / Re-inspection,23.0
41191856,THE MEAN FIDDLER,2023-05-02,A,Cycle Inspection / Initial Inspection,11.0
50085189,SUSHI ANN,2025-07-15,A,Cycle Inspection / Initial Inspection,4.0
50079524,DOUGHNUT PLANT,2025-06-18,A,Cycle Inspection / Initial Inspection,12.0
50118138,DEBE KITCHEN,2024-10-28,A,Cycle Inspection / Initial Inspection,13.0
50145247,LA CLAVE RESTAURANT,2024-04-01,nan,Administrative Miscellaneous / Initial Inspection,
50148497,SUGARCANE BK,2024-05-22,A,Pre-permit (Operational) / Initial Inspection,11.0
41372091,GOSSIP,2024-04-02,A,Cycle Inspection / Re-inspection,13.0
41546717,DANJI,2025-03-06,A,Cycle Inspection / Initial Inspection,12.0
50092423,KARAVAN GRILL,2025-03-18,Z,Cycle Inspection / Re-inspection,36.0
50148074,RICHIE'S PIZZERIA,2024-10-24,C,Pre-permit (Operational) / Re-inspection,57.0
50089431,AIME LEON DORE SOHO,2025-08-18,Z,Cycle Inspection / Re-inspection,47.0
50108408,HOLY PITA,2024-05-13,A,Cycle Inspection / Initial Inspection,9.0
50076584,KLOM KLORM,2025-07-10,Z,Cycle Inspection / Re-inspection,36.0
50134013,BOBBY'S NIGHT OUT,2025-08-05,Z,Cycle Inspection / Re-inspection,19.0
50065679,NEW LEVEL JUICE,2025-08-07,A,Cycle Inspection / Re-inspection,10.0
50142226,NATIA'S BAKERY,2025-02-13,C,Cycle Inspection / Re-inspection,80.0
50142226,NATIA'S BAKERY,2025-02-13,nan,Administrative Miscellaneous / Re-inspection,
50139684,SEAGASM,2023-10-30,A,Pre-permit (Operational) / Re-inspection,4.0
50110670,ANYTIME BAR & BILLIARDS,2023-09-20,A,Pre-permit (Operational) / Initial Inspection,11.0
40534912,BROOKLYN MOON,2024-02-22,C,Cycle Inspection / Re-inspection,36.0
41158746,BROTHER'S PIZZERIA,2025-07-07,C,Cycle Inspection / Re-inspection,28.0
50101824,BARI'S PIZZA,2024-03-28,A,Cycle Inspection / Re-inspection,12.0
50013019,STARBUCKS,2024-09-20,A,Cycle Inspection / Initial Inspection,13.0
50137018,NEW ERA RESTAURANT,2025-08-04,Z,Cycle Inspection / Re-inspection,37.0
41347039,E.J. MICHAEL'S,2019-06-22,nan,Trans Fat / Initial Inspection,
50037026,PAPA JOHN'S,2024-10-17,A,Cycle Inspection / Re-inspection,4.0
50132701,RED HOUSE,2023-10-02,A,Pre-permit (Operational) / Re-inspection,10.0
50128133,NIPPON CHA,2024-12-19,B,Cycle Inspection / Re-inspection,26.0
40961620,JK BAKERY,2024-12-12,A,Cycle Inspection / Initial Inspection,12.0
50126499,GEORGE BANG BANG,2023-09-27,A,Pre-permit (Operational) / Initial Inspection,13.0
50147353,BARLEY TIME,2024-12-02,B,Pre-permit (Operational) / Re-inspection,19.0
50000267,BROKEN LAND,2024-03-07,B,Cycle Inspection / Re-inspection,27.0
50002648,TAQUERIA DIANA,2024-08-20,A,Cycle Inspection / Re-inspection,13.0
50101183,QUEEN,2025-05-12,A,Cycle Inspection / Initial Inspection,12.0
41631435,STARBUCKS,2024-04-15,nan,Administrative Miscellaneous / Initial Inspection,
41631435,STARBUCKS,2024-04-15,A,Cycle Inspection / Initial Inspection,11.0
50157822,MUSCLE MAKER GRILL,2025-06-02,A,Pre-permit (Operational) / Re-inspection,13.0
41660507,HARRY'S ITALIAN,2024-07-08,A,Cycle Inspection / Initial Inspection,13.0
50123489,TRUDY'S ICE CREAM,2024-09-11,A,Cycle Inspection / Re-inspection,13.0
50016888,LOS TACOS MCONDO,2024-03-07,C,Cycle Inspection / Re-inspection,41.0
50114945,AHUACHAPAN,2025-04-28,C,Cycle Inspection / Re-inspection,44.0
50034040,TANOSHI TEI,2025-07-01,C,Cycle Inspection / Re-inspection,31.0
50078845,TACOMBI FORT GREENE,2025-01-09,B,Cycle Inspection / Re-inspection,19.0
50003180,DUNKIN,2024-06-07,nan,Calorie Posting / Initial Inspection,
