CAMIS,MostRecentInspDate
30075445,2024-11-08
30191841,2025-02-20
40356018,2024-04-16
40356483,2025-01-06
40356731,2025-04-30
40357217,2024-05-21
40359480,2022-05-03
40359705,2023-04-26
40360045,2024-07-29
40361618,2024-09-16
40362264,2025-03-27
40362274,2023-06-21
40362432,2024-11-12
40362869,2024-10-18
40363298,2025-05-01
40363427,2024-04-29
40363834,2024-04-04
40363920,2024-07-03
40364179,2024-07-10
40364220,2023-11-01
40364296,2025-03-20
40364335,2024-09-30
40364347,2024-10-29
40364373,2023-02-06
40364389,2025-02-26
40364439,2023-05-17
40364443,2025-08-26
40364449,2025-05-15
40364467,2025-01-29
40364518,2025-06-30
40364531,2025-03-17
40364572,2024-10-23
40364581,2024-12-10
40364715,2023-03-23
40364744,2025-07-21
40364858,2019-11-20
40364956,2025-05-12
40365013,2024-10-05
40365075,2025-06-26
40365120,2024-07-08
40365166,2025-06-10
40365239,2024-03-14
40365288,2024-10-09
40365387,2023-03-20
40365499,2025-07-31
40365525,2025-08-11
40365546,2025-04-02
40365577,2023-06-05
40365627,2024-12-09
40365632,2025-03-27
40365644,2025-01-28
40365726,2024-07-11
40365784,2024-02-23
40365789,2023-12-28
40365841,2024-03-14
40365844,2024-06-26
40365871,2023-05-02
40365882,2025-04-14
40365904,2025-08-08
40365938,2023-01-17
40365942,2025-01-06
40365968,2024-09-24
40365972,2024-04-16
40366002,2025-04-07
40366054,2024-07-22
40366109,2023-12-27
40366132,2024-01-19
40366154,2025-06-05
40366222,2025-03-06
40366230,2024-05-09
40366356,2024-07-22
40366471,2024-10-30
40366473,2023-12-05
40366487,2024-10-09
40366497,2024-12-18
40366543,2024-01-30
40366574,2025-01-14
40366652,2024-06-13
40366711,2024-09-26
40366716,2023-06-06
40366742,2025-02-20
40366879,2024-12-26
40366928,2024-06-17
40366938,2025-04-28
40366961,2024-06-30
40367005,2025-06-05
40367038,2023-10-26
40367161,2025-01-02
40367189,2024-05-29
40367232,2024-04-01
40367240,2024-10-15
40367241,2025-01-28
40367338,2024-12-10
40367339,2023-12-14
40367365,2024-07-10
40367373,2024-12-09
40367377,2023-02-02
40367442,2024-01-25
40367728,2024-06-20
40367749,2024-07-19
40367752,2025-02-07
40367789,2024-07-02
40367790,2025-02-07
40367841,2025-02-03
40367860,2024-08-30
40367870,2024-12-16
40368018,2023-05-10
40368021,2024-05-22
40368022,2019-05-29
40368025,2024-08-28
40368026,2019-05-22
40368034,2025-04-30
40368157,2023-11-28
40368207,2024-09-18
40368223,2024-01-18
40368271,2025-01-07
40368291,2024-05-16
40368313,2025-01-13
40368318,2024-07-16
40368338,2024-08-28
40368374,2025-02-24
40368555,2023-08-31
40368577,2024-09-24
40368581,2023-06-04
40368632,2024-10-25
40368752,2025-01-08
40368763,2024-10-22
40368801,2024-12-08
40368809,2024-02-08
40368824,2024-11-12
40368897,2025-05-22
40369012,2024-05-01
40369016,2024-08-01
40369051,2024-12-06
40369158,2024-12-14
40369165,2023-10-03
40369213,2024-03-21
40369262,2024-06-26
40369299,2025-06-26
40369418,2025-01-08
40369461,2025-01-09
40369482,2025-01-29
40369521,2025-05-14
40369608,2023-12-28
40369619,2024-07-31
40369641,2023-05-11
40369667,2024-10-09
40369669,2024-12-05
40369675,2024-04-10
40369782,2024-08-05
40369878,2025-04-17
40369958,2024-10-09
40369983,2025-07-17
40370015,2025-06-06
40370150,2023-04-03
40370167,2024-04-29
40370168,2025-04-15
40370436,2024-12-26
40370463,2025-03-26
40370507,2024-09-05
40370766,2025-01-08
40370781,2024-12-17
40370856,2023-04-28
40370939,2023-11-22
40371684,2025-07-17
40371718,2024-09-06
40371727,2023-04-12
40371805,2024-04-24
40371906,2025-04-30
40371988,2025-04-14
40372112,2024-10-15
40372196,2024-12-17
40372262,2025-08-21
40372357,2025-03-26
40372417,2024-10-03
40372422,2025-01-22
40372445,2025-03-28
40372466,2024-03-20
40372485,2024-09-11
40372596,2024-08-15
40372618,2025-05-01
40372631,2024-08-21
40372971,2024-09-12
40373113,2024-08-14
40373118,2025-02-12
40373160,2024-06-17
40373462,2024-12-09
40373500,2025-07-23
40373597,2025-02-11
40373669,2023-04-17
40373888,2024-10-15
40373909,2024-08-19
40373912,2025-08-09
40373937,2022-12-02
40374136,2024-10-24
40374192,2023-01-08
40374266,2022-07-19
40374277,2025-05-05
40374395,2023-04-27
40374415,2023-04-18
40374834,2022-09-20
40374974,2024-10-23
40375108,2024-03-27
40375286,2024-11-07
40375369,2024-07-31
40375616,2024-10-03
40375699,2025-01-08
40375929,2023-03-30
40376077,2024-08-19
40376204,2025-04-16
40376290,2024-11-27
40376352,2024-04-04
40376495,2025-06-27
40376496,2024-10-09
40376515,2024-10-28
40376583,2024-12-13
40376635,2024-07-30
40376718,2024-06-06
40376735,2025-07-24
40377124,2024-12-12
40377243,2025-08-05
40377262,2023-04-05
40377294,2024-11-19
40377325,2024-08-15
40377385,2024-10-07
40377506,2025-02-19
40377560,2024-11-01
40377630,2024-05-10
40377789,2025-03-21
40378035,2025-07-22
40378190,2023-03-27
40378212,2024-12-17
40378571,2025-07-28
40378579,2025-07-07
40378827,2023-10-16
40378874,2024-09-14
40379026,2024-11-29
40379149,2025-01-29
40379566,2024-05-24
40379580,2025-01-09
40379628,2025-07-08
40379662,2023-06-23
40379746,2025-01-27
40379890,2023-11-20
40379920,2025-07-15
40380164,2025-01-07
40380182,2023-10-16
40380422,2024-06-20
40380432,2024-12-06
40380457,2023-08-03
40380464,2025-01-23
40380517,2025-01-28
40380520,2024-06-20
40380592,2024-10-16
40380628,2024-06-27
40380657,2023-04-26
40380660,2025-05-19
40380826,2025-01-14
40380996,2024-07-03
40381551,2025-07-17
40381720,2024-04-16
40382057,2023-01-04
40382652,2025-04-09
40382802,2025-03-25
40383003,2025-06-16
40383044,2025-07-09
40383067,2024-04-11
40383281,2025-03-11
40383284,2024-11-19
40383464,2025-01-29
40383511,2024-06-11
40383609,2023-08-30
40383737,2023-03-16
40383819,2024-05-23
40383825,2025-05-07
40384036,2024-09-13
40384188,2024-08-28
40384340,2025-01-16
40384458,2024-03-01
40384528,2025-03-20
40384575,2025-04-09
40384662,2025-05-07
40384671,2024-05-06
40384920,2025-05-27
40385057,2025-02-04
40385157,2023-12-20
40385161,2025-01-09
40385580,2020-03-03
40385584,2024-08-16
40385587,2025-04-03
40385680,2024-05-21
40385693,2025-01-16
40385774,2025-01-13
40385852,2023-12-20
40385873,2024-02-06
40385885,2023-03-28
40385955,2025-02-18
40386001,2023-05-09
40386058,2024-10-18
40386067,2024-06-25
40386147,2024-09-13
40386278,2024-04-09
40386303,2024-09-18
40386425,2024-08-22
40386528,2025-06-03
40386556,2024-12-26
40386569,2025-06-04
40386570,2024-01-04
40386612,2025-01-21
40386619,2024-04-29
40386646,2023-10-05
40386672,2025-01-16
40386675,2024-03-18
40386722,2024-10-07
40386837,2025-07-21
40386976,2025-05-29
40386999,2025-06-30
40387027,2025-07-22
40387143,2025-03-04
40387162,2023-04-19
40387178,2025-03-11
40387243,2025-01-27
40387277,2024-03-06
40387418,2025-07-14
40387754,2024-04-24
40387825,2024-05-16
40387861,2025-07-18
40388091,2023-09-27
40388194,2022-11-28
40388218,2024-07-09
40388253,2024-09-30
40388260,2024-08-22
40388269,2024-12-05
40388321,2024-11-19
40388419,2024-07-22
40388578,2024-01-31
40388639,2025-01-28
40388640,2024-06-28
40388672,2025-03-24
40388784,2024-03-20
40388787,2024-04-25
40388818,2023-02-14
40388823,2025-02-12
40388901,2024-11-12
40388935,2024-05-22
40389114,2024-01-22
40389243,2025-05-07
40389356,2024-12-13
40389455,2024-05-16
40389701,2025-04-18
40389732,2024-03-27
40389807,2025-07-17
40389819,2025-06-17
40389881,2024-07-22
40390163,2024-12-26
40390266,2025-08-21
40390409,2024-10-15
40390536,2024-10-05
40390696,2024-03-12
40390729,2024-06-07
40390758,2025-08-25
40390850,2024-02-20
40390973,2024-12-10
40391032,2024-11-01
40391060,2024-05-16
40391086,2024-11-26
40391092,2025-01-28
40391121,2025-04-08
40391143,2025-06-11
40391154,2025-05-05
40391205,2024-08-26
40391259,2025-07-21
40391272,2025-05-15
40391284,2024-04-23
40391304,2025-03-20
40391350,2023-01-24
40391383,2024-08-28
40391498,2025-03-14
40391531,2024-03-21
40391639,2024-09-13
40391695,2024-10-22
40391699,2025-01-21
40391808,2025-02-28
40391824,2024-07-02
40391857,2023-12-11
40391913,2024-07-08
40391979,2025-08-27
40392063,2024-06-03
40392140,2024-03-05
40392256,2025-03-07
40392313,2024-09-25
40392384,2025-02-06
40392388,2024-04-11
40392410,2025-01-10
40392496,2024-08-13
40392668,2022-02-08
40392766,2024-07-29
40392834,2023-08-09
40392872,2024-04-11
40393044,2024-07-10
40393051,2024-05-17
40393093,2025-05-05
40393118,2025-03-24
40393154,2024-05-23
40393243,2024-09-04
40393378,2024-02-12
40393395,2024-09-19
40393413,2024-07-18
40393519,2024-12-12
40393558,2024-10-15
40393563,2025-06-18
40393570,2025-08-13
40393591,2024-06-25
40393688,2023-11-28
40393712,2024-12-10
40393725,2024-04-23
40393761,2023-01-20
40393772,2023-05-16
40393787,2025-07-09
40393832,2025-06-11
40393977,2024-08-21
40393985,2024-12-17
40394007,2024-05-16
40394028,2024-09-05
40394030,2025-01-08
40394037,2025-01-29
40394068,2024-09-18
40394110,2024-07-08
40394176,2023-04-19
40394207,2025-02-27
40394258,2024-11-13
40394392,2023-05-23
40394401,2025-05-15
40394518,2024-11-13
40394555,2023-11-01
40394600,2024-12-11
40394761,2024-08-08
40394770,2017-10-24
40394838,2024-12-10
40394916,2025-02-19
40394962,2025-02-04
40395055,2023-01-31
40395079,2023-10-24
40395087,2024-04-29
40395110,2022-12-12
40395122,2025-04-08
40395211,2024-11-19
40395310,2025-05-06
40395343,2025-04-24
40395366,2024-09-24
40395375,2022-12-03
40395511,2024-10-23
40395525,2024-09-30
40395554,2025-03-31
40395597,2025-05-21
40395653,2025-02-21
40395826,2024-11-01
40395865,2023-09-01
40395872,2024-10-23
40395882,2025-02-04
40395892,2023-11-29
40395906,2024-12-10
40395910,2024-03-18
40395921,2025-01-14
40395992,2025-01-28
40396020,2024-02-14
40396037,2024-09-25
40396159,2025-03-17
40396183,2024-05-16
40396231,2025-04-15
40396264,2024-05-28
40396381,2024-05-22
40396399,2025-06-23
40396421,2024-11-25
40396445,2024-05-13
40396464,2025-08-27
40396488,2024-10-24
40396492,2024-03-25
40396496,2024-04-08
40396521,2024-05-09
40396532,2024-10-01
40396548,2025-04-14
40396622,2025-06-27
40396769,2024-10-22
40396892,2024-12-18
40396906,2024-08-22
40396927,2025-01-22
40397116,2024-05-08
40397189,2024-10-21
40397219,2025-04-30
40397305,2024-12-08
40397335,2025-01-02
40397359,2024-03-13
40397439,2025-02-20
40397458,2025-01-22
40397492,2025-04-30
40397574,2025-01-16
40397625,2024-06-26
40397626,2024-04-11
40397642,2024-10-20
40397676,2025-03-13
40397700,2024-05-21
40397723,2024-08-13
40397725,2025-04-30
40397763,2024-05-06
40397780,2024-12-18
40397791,2020-02-20
40397797,2023-10-24
40397810,2023-01-12
40397886,2025-05-12
40398125,2024-10-24
40398138,2023-01-19
40398306,2024-06-04
40398367,2024-12-12
40398434,2023-12-12
40398440,2022-03-21
40398532,2024-04-18
40398549,2024-12-13
40398561,2025-08-20
40398586,2025-05-22
40398688,2019-10-11
40398689,2024-10-24
40398690,2024-04-04
40398700,2024-07-02
40398795,2022-12-06
40398811,2024-06-04
40398910,2025-04-10
40398989,2024-11-20
40399099,2025-03-20
40399174,2024-10-22
40399279,2024-03-04
40399329,2025-01-07
40399340,2024-09-10
40399356,2024-09-13
40399372,2024-07-18
40399422,2025-07-01
40399472,2024-12-18
40399560,2024-04-18
40399569,2024-09-09
40399581,2024-10-24
40399620,2025-06-03
40399739,2025-01-03
40399778,2024-12-31
40399787,2025-01-27
40399817,2025-01-27
40399834,2023-04-17
40399852,2023-02-25
40399886,2024-11-18
40399922,2024-07-23
40399955,2024-01-08
40399986,2024-12-07
40400039,2025-03-20
40400149,2025-01-08
40400155,2024-09-30
40400198,2024-08-07
40400209,2024-11-19
40400429,2024-08-15
40400453,2024-07-25
40400473,2024-10-09
40400483,2025-02-27
40400492,2024-06-25
40400544,2022-09-30
40400561,2024-02-07
40400686,2024-03-22
40400710,2025-08-13
40400754,2024-06-25
40400810,2024-03-12
40400898,2024-03-19
40400962,2024-09-09
40400976,2024-07-17
40401025,2024-09-09
40401060,2024-03-07
40401066,2022-11-21
40401084,2025-01-16
40401093,2025-01-07
40401160,2024-06-06
40401173,2023-04-11
40401224,2024-09-04
40401247,2024-01-31
40401422,2024-06-13
40401445,2025-08-22
40401453,2023-10-11
40401742,2024-09-27
40401821,2025-01-27
40401834,2025-06-30
40401887,2024-06-14
40401895,2024-10-16
40401912,2025-07-01
40401934,2024-10-18
40401971,2025-01-08
40402007,2025-07-15
40402023,2023-12-12
40402026,2025-04-15
40402089,2024-01-18
40402172,2024-11-12
40402222,2023-09-01
40402238,2019-05-17
40402266,2019-07-26
40402333,2025-04-10
40402337,2025-01-28
40402362,2025-04-16
40402365,2025-02-12
40402368,2025-05-28
40402369,2024-10-18
40402375,2025-05-21
40402376,2024-10-23
40402377,2025-05-20
40402393,2024-09-19
40402397,2024-04-18
40402398,2019-06-14
40402407,2021-08-05
40402418,2019-04-17
40402423,2024-09-17
40402424,2024-07-08
40402465,2024-12-20
40402466,2024-01-08
40402527,2025-07-01
40402610,2023-10-16
40402699,2024-10-10
40402742,2023-10-06
40402755,2024-08-27
40402756,2025-03-31
40402785,2024-10-21
40402788,2024-10-24
40402899,2024-02-15
40403419,2025-06-25
40403579,2024-03-13
40403586,2025-03-31
40403721,2024-04-10
40403768,2025-07-10
40403822,2023-12-05
40403830,2025-07-02
40403857,2024-02-16
40404024,2024-10-21
40404080,2024-10-04
40423364,2025-07-30
40423403,2024-10-21
40423440,2025-06-27
40423481,2025-02-06
40423510,2025-02-21
40423563,2025-03-19
40423571,2025-02-12
40423654,2024-12-10
40423705,2024-07-02
40423819,2024-12-27
40423830,2025-07-16
40423976,2025-05-01
40424337,2024-11-26
40424410,2024-08-29
40424437,2025-03-27
40424488,2024-05-01
40424515,2025-08-07
40424633,2025-08-08
40424709,2024-08-28
40424723,2024-12-27
40424765,2025-06-16
40424780,2025-05-28
40424894,2025-03-06
40424933,2024-06-10
40425000,2024-09-19
40425021,2025-05-21
40425029,2024-05-16
40425060,2025-04-22
40425131,2024-08-02
40425143,2024-04-11
40482586,2023-11-01
40482591,2023-01-12
40482592,2024-04-17
40482593,2024-05-07
40482596,2024-04-10
40482597,2018-10-24
40482598,2024-05-07
40482599,2025-07-02
40482600,2019-05-16
40483195,2019-02-20
40483540,2023-01-24
40483596,2025-05-21
