CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,BBL
50176448,MONKEY BROTHER'S NYC INC,0,,,,3479727197,,,,,,Not Applicable,,,,2025-10-17,,,,
50133264,NOM WAH (KIOSK 11),Manhattan,PIER 57,KIOSK 11,10011,6467634242,Chinese,2023-06-27,Violations were cited in the following area(s).,03I,"Juice packaged on premises with no or incomplete label, no warning statement",Critical,36.0,,,2025-10-17,Pre-permit (Operational) / Initial Inspection,,,
41709587,PEACHES GRAND,Brooklyn,4143,CLIFTON PLACE,,7186389500,Seafood,2022-06-14,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,0.0,A,2022-06-14,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,3.0
41032752,DONS BOGAM,Manhattan,1517,EAST   32 STREET,,2126832200,Korean,2024-01-31,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,28.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
40380164,CUCHIFRITOS,Bronx,158,E. 188 TH ST,,7183674500,Spanish,2023-06-05,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,23.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,2.0
50142157,THE ATRIUM AT LA GUARDIA - THE LITTLE FLOWER,Queens,1,CENTRAL TERMINAL,,9723556751,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,4.0
50069362,TEXAS CHICKEN & BURGERS,Manhattan,2057,ADAM CLAYTON POWELL JR BOULEVARD,,6468923202,Chicken,2024-03-07,Establishment re-opened by DOHMH.,,,Not Applicable,0.0,,,2025-10-17,Cycle Inspection / Reopening Inspection,0.0,0.0,1.0
41450634,YUNG HSIN RESTAURANT,Bronx,147577,BEACH AVENUE,,7184095984,Chinese,2022-04-26,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,11.0,A,2022-04-26,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,2.0
50160486,HUDSON CABIN,Manhattan,WEST,59TH STREET COLUMBUS CIRCLE,10023,6466372137,,,,,,Not Applicable,,,,2025-10-17,,,,
50150197,QUEENS SOCIAL ADULT DAYCARE CENTER INC,0,217,BETHPAGE RD,11801,7182006130,,,,,,Not Applicable,,,,2025-10-17,,,,
50119336,COMMON GOOD HARLEM,Manhattan,2801,FREDERICK DOUGLASS BOULEVARD,,9175290966,Coffee/Tea,2022-04-22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,11.0,A,2022-04-22,2025-10-17,Pre-permit (Operational) / Re-inspection,0.0,0.0,1.0
50160452,TANG HULU,Manhattan,1802,65TH STRETT,,6462567071,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
